GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
5	rs12127241	1	66123774	rs2376015	2017-06-01	28107422	de Vries PS	2017-01-20	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28107422	Comparison of HapMap and 1000 Genomes Reference Panels in a Large-Scale Genome-Wide Association Study.	Fibrinogen levels	91,953 European ancestry individuals (imputed to 1000 Genomes)		1p31.3	LEPR, PDE4B	LEPR - RN7SL854P	3953	106480383		20598	102967	rs2376015-?	rs2376015	0	2376015	regulatory_region_variant	1	NR	5E-12	11.301029995663981		0.0075	unit increase	Affymetrix, Illumina [10883314] (imputed)	N
5	rs12127241	1	66137192	rs34293785	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Granulocyte percentage of myeloid white cells	169,545 European ancestry individuals	NA	1p31.3	intergenic	LEPR - RN7SL854P	3953	106480383		34016	89549	rs34293785-C	rs34293785	0	34293785	intergenic_variant	1	0.3664	7E-16	15.154901959985743		0.03005971	[0.023-0.037] unit decrease	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66137192	rs34293785	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Monocyte percentage of white cells	170,494 European ancestry individuals	NA	1p31.3	intergenic	LEPR - RN7SL854P	3953	106480383		34016	89549	rs34293785-C	rs34293785	0	34293785	intergenic_variant	1	0.3664	3E-10	9.522878745280337		0.0234506	[0.016-0.031] unit increase	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66137192	rs34293785	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Neutrophil count	170,702 European ancestry individuals	NA	1p31.3	intergenic	LEPR - RN7SL854P	3953	106480383		34016	89549	rs34293785-C	rs34293785	0	34293785	intergenic_variant	1	0.3663	7E-37	36.15490195998574		0.04733785	[0.04-0.055] unit decrease	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66137192	rs34293785	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Neutrophil percentage of white cells	171,542 European ancestry individuals	NA	1p31.3	intergenic	LEPR - RN7SL854P	3953	106480383		34016	89549	rs34293785-C	rs34293785	0	34293785	intergenic_variant	1	0.3664	1E-13	13.0		0.0276318	[0.02-0.035] unit decrease	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66137192	rs34293785	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Sum basophil neutrophil counts	170,143 European ancestry individuals	NA	1p31.3	intergenic	LEPR - RN7SL854P	3953	106480383		34016	89549	rs34293785-C	rs34293785	0	34293785	intergenic_variant	1	0.3663	4E-37	36.39794000867204		0.04757809	[0.04-0.055] unit decrease	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66137192	rs34293785	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Sum neutrophil eosinophil counts	170,384 European ancestry individuals	NA	1p31.3	intergenic	LEPR - RN7SL854P	3953	106480383		34016	89549	rs34293785-C	rs34293785	0	34293785	intergenic_variant	1	0.3663	6E-37	36.221848749616356		0.04744444	[0.04-0.055] unit decrease	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66137192	rs34293785	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	White blood cell count	172,435 European ancestry individuals	NA	1p31.3	intergenic	LEPR - RN7SL854P	3953	106480383		34016	89549	rs34293785-C	rs34293785	0	34293785	intergenic_variant	1	0.3663	1E-34	34.0		0.0458313	[0.039-0.053] unit decrease	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66153363	rs4655582	2017-06-01	28107422	de Vries PS	2017-01-20	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28107422	Comparison of HapMap and 1000 Genomes Reference Panels in a Large-Scale Genome-Wide Association Study.	Fibrinogen levels	91,953 European ancestry individuals (imputed to HapMap)		1p31.3	LEPR, PDE4B	LEPR - RN7SL854P	3953	106480383		50187	73378	rs4655582-?	rs4655582	0	4655582	regulatory_region_variant	1	NR	5E-11	10.301029995663981		0.0069	unit increase	Affymetrix, Illumina [2749429] (imputed)	N
5	rs12127241	1	66161461	rs4420065	2015-05-23	21300955	Dehghan A	2011-02-07	Circulation	www.ncbi.nlm.nih.gov/pubmed/21300955	Meta-analysis of genome-wide association studies in &gt;80 000 subjects identifies multiple loci for C-reactive protein levels.	C-reactive protein levels	63,678 European ancestry individuals 1,792 Erasmus Ruchpen individuals, 715 Orcadian individuals	16,540 European ancestry individuals	1p31.3	LEPR	LEPR - RN7SL854P	3953	106480383		58285	65280	rs4420065-C	rs4420065	0	4420065	intergenic_variant	1	NR	4E-62	61.39794000867204		0.09	[0.08-0.10] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
5	rs12127241	1	66169679	rs12753193	2009-01-14	19060910	Sabatti C	2008-12-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19060910	Genome-wide association analysis of metabolic traits in a birth cohort from a founder population.	Metabolic traits	4,763 Northern Finnish founder individuals	NA	1p31.3	LEPR	LEPR - RN7SL854P	3953	106480383		66503	57062	rs12753193-G	rs12753193	0	12753193	intergenic_variant	1	0.45	4E-7	6.3979400086720375	(CRP)	0.13	[-0.02-0.27] mmol/l decrease	Illumina [329091]	N
5	rs12127241	1	66170362	rs17407594	2015-05-29	25223902	Go MJ	2014-09-16	Genomics	www.ncbi.nlm.nih.gov/pubmed/25223902	A genome-wide association study identifies a LEPR gene as a novel predisposing factor for childhood fasting plasma glucose.	Fasting plasma glucose (childhood)	484 Korean ancestry children	776 Korean ancestry children	1p31.3	LEPR	LEPR - RN7SL854P	3953	106480383		67186	56379	rs17407594-A	rs17407594	0	17407594	intergenic_variant	1	NR	5E-8	7.301029995663981		0.157	[0.10-0.21] mmol/l increase	Illumina [747076]	N
5	rs12127241	1	66171001	rs11208722	2017-02-25	27286809	Ligthart S	2016-06-10	BMC Genomics	www.ncbi.nlm.nih.gov/pubmed/27286809	Bivariate genome-wide association study identifies novel pleiotropic loci for lipids and inflammation.	C-reactive protein levels or triglyceride levels (pleiotropy)	65,000 individuals (C-reactive protein), 96,598 individuals (triglycerides)	NA	1p31.3	LEPR	LEPR - RN7SL854P	3953	106480383		67825	55740	rs11208722-A	rs11208722	0	11208722	intergenic_variant	1	NR	8E-36	35.096910013008056				NR [25015711] (imputed)	N
5	rs2096406	1	66313994	rs4347184	2017-11-10	28991256	Li Z	2017-10-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28991256	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	Schizophrenia	7,699 Chinese ancestry cases, 35,476 European ancestry cases, 18,327 Chinese ancestry controls, 46,839 European ancestry controls	4,384 Chinese ancestry cases, 5,770 Chinese ancestry controls	1p31.3	intergenic	PDE4B			5142			rs4347184-T	rs4347184	0	4347184	intron_variant	0	NR	2E-7	6.698970004336019		1.049	[1.03-1.07]	Affymetrix, Illumina [up to 5107227] (imputed)	N
5	rs2096406	1	66324512	rs12129719	2016-07-23	26198764	Goes FS	2015-07-21	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/26198764	Genome-wide association study of schizophrenia in Ashkenazi Jews.	Schizophrenia	592 Ashkenazi Jewish ancestry cases, 505 Ashkenazi Jewish ancestry controls, 36,989 cases, 113,075 controls	NA	1p31.3	NR	PDE4B			5142			rs12129719-A	rs12129719	0	12129719	intron_variant	0	NR	1E-6	6.0		1.05	[NR]	Illumina [7158791] (imputed)	N
6	rs80278614	1	119144432	rs10802047	2014-04-02	24068947	Brandler WM	2013-09-12	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24068947	Common variants in left/right asymmetry genes and pathways are associated with relative hand skill.	Relative hand skill in reading disability	728 European ancestry individuals with reading disability	NA	1p12	intergenic	RNA5SP56 - PSMC1P12	100873294	644094		337320	12303	rs10802047-?	rs10802047	0	10802047	intergenic_variant	1	0.38	2E-6	5.698970004336019		0.25	[0.15-0.36] unit decrease	Illumina [2095209]	N
6	rs80278614	1	119144636	rs2360027	2017-12-01	28928442	Tian C	2017-09-19	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28928442	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	Tonsillectomy	60,098 European ancestry cases, 113,323 European ancestry controls	NA	1p12	NR	RNA5SP56 - PSMC1P12	100873294	644094		337524	12099	rs2360027-?	rs2360027	0	2360027	intergenic_variant	1	NR	5E-7	6.301029995663981		0.0423	[0.026-0.059] unit increase	Illumina [at least 560000] (imputed)	N
6	rs80278614	1	119497154	rs12143789	2016-02-04	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist-to-hip ratio adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	1p12	TBX15	TBX15			6913			rs12143789-C	rs12143789	0	12143789	intron_variant	0	0.2028	4E-9	8.397940008672037		0.0246	[0.016-0.033] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
6	rs80278614	1	119497154	rs12143789	2016-02-04	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist-to-hip ratio adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	1p12	TBX15	TBX15			6913			rs12143789-C	rs12143789	0	12143789	intron_variant	0	0.2055	8E-9	8.096910013008056	(EA)	0.0244	[0.016-0.033] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
6	rs80278614	1	119497154	rs12143789	2016-02-04	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist-to-hip ratio adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	1p12	TBX15	TBX15			6913			rs12143789-C	rs12143789	0	12143789	intron_variant	0	0.2064	7E-6	5.154901959985743	(men)	0.0273	[0.015-0.039] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
6	rs80278614	1	119497154	rs12143789	2016-02-04	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist-to-hip ratio adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	1p12	TBX15	TBX15			6913			rs12143789-C	rs12143789	0	12143789	intron_variant	0	0.209	7E-6	5.154901959985743	(EA, men)	0.0274	[0.015-0.039] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
6	rs80278614	1	119497154	rs12143789	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)	95,362 European ancestry women, 62,085 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	1p12	TBX15	TBX15			6913			rs12143789-C	rs12143789	0	12143789	intron_variant	0	0.1892	2E-7	6.698970004336019		0.0235	[0.015-0.032] unit increase	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
6	rs80278614	1	119501103	rs12144610	2018-01-29	29198719	Shaffer JR	2017-11-30	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/29198719	Multiethnic GWAS Reveals Polygenic Architecture of Earlobe Attachment.	Lobe attachment (rater-scored or self-reported)	66,741 European ancestry individuals, 5,062 Hispanic individuals, 2,857 Han Chinese ancestry individuals	NA	1p12	NR	TBX15			6913			rs12144610-?	rs12144610	0	12144610	intron_variant	0	NR	1E-16	16.0				Illumina [at least 7383741] (imputed)	N
6	rs80278614	1	119504361	rs9659323	2016-01-27	25673413	Locke AE	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673413	Genetic studies of body mass index yield new insights for obesity biology.	Body mass index	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychelles male individuals, 287 Seychelles female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals	1p12	TBX15	TBX15			6913			rs9659323-A	rs9659323	0	9659323	intron_variant	0	0.553	7E-7	6.154901959985743	(EA, men)	0.02	[0.012-0.028] kg/m2 increase	Affymetrix, Illumina [2550021]	N
6	rs80278614	1	119522426	rs113197996	2017-12-01	28928442	Tian C	2017-09-19	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28928442	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	Tonsillectomy	60,098 European ancestry cases, 113,323 European ancestry controls	NA	1p12	NR	TBX15			6913			rs113197996-?	rs113197996	0	113197996	intron_variant	0	NR	3E-7	6.522878745280337		0.0428	[0.026-0.059] unit decrease	Illumina [at least 560000] (imputed)	N
6	rs80278614	1	119631174	rs17023223	2017-08-18	28448500	Graff M	2017-04-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28448500	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)	2,518 African American women, 83,707 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 52,993 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals	6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men	1p12	TBX15, WARS2	WARS2			10352			rs17023223-?	rs17023223	0	17023223	intron_variant	0	0.3839	4E-8	7.3979400086720375	(EA, men)			Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
6	rs80278614	1	119631174	rs17023223	2017-08-22	28448500	Graff M	2017-04-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28448500	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	Waist-to-hip ratio adjusted for BMI in active individuals	1,957 African American women, 1,421 Filipino ancestry women, 305 Indian ancestry women, 65,539 European ancestry women, 1,206 African American men, 2,029 Indian ancestry men, 41,673 European ancestry men, 4,819 European ancestry individuals	4,807 African American women, 12,347 European ancestry women, 265 African American men, 14,540 European ancestry men	1p12	TBX15, WARS2	WARS2			10352			rs17023223-C	rs17023223	0	17023223	intron_variant	0	0.388	2E-7	6.698970004336019	(EA, men)	0.0348	[0.022-0.048] unit increase	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
6	rs80278614	1	119715178	rs143745495	2018-01-29	29198719	Shaffer JR	2017-11-30	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/29198719	Multiethnic GWAS Reveals Polygenic Architecture of Earlobe Attachment.	Lobe attachment (rater-scored or self-reported)	66,741 European ancestry individuals, 5,062 Hispanic individuals, 2,857 Han Chinese ancestry individuals	NA	1p12	NR	LOC101929147			101929147			rs143745495-?	rs143745495	0	143745495	intron_variant	0	NR	1E-7	7.0				Illumina [at least 7383741] (imputed)	N
7	rs3753639	1	154814268	rs6666258	2012-07-19	22544366	Ellinor PT	2012-04-29	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22544366	Meta-analysis identifies six new susceptibility loci for atrial fibrillation.	Atrial fibrillation	6,707 European ancestry cases, 52,426 European ancestry controls	5,381 European ancestry casses, 10,030 European ancestry  controls	1q21.3	KCNN3, PMVK	KCNN3			3782			rs6666258-C	rs6666258	0	6666258	intron_variant	0	0.30	2E-14	13.698970004336019		1.18	[1.13-1.23]	Affymetrix, Illumina [~ 2500000] (imputed)	N
7	rs3753639	1	154814353	rs13376333	2010-03-15	20173747	Ellinor PT	2010-02-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20173747	Common variants in KCNN3 are associated with lone atrial fibrillation.	Atrial fibrillation	1,335 European ancestry cases, 12,844 European ancestry controls	1,164 European ancestry cases, 3,607 European ancestry controls	1q21.3	KCNN3	KCNN3			3782			rs13376333-T	rs13376333	0	13376333	intron_variant	0	0.30	2E-21	20.69897000433602		1.52	[1.40-1.64]	Affymetrix, Illumina [~ 2500000] (imputed)	N
